sha,message,author,date
41e65fbad208df392b333fd0f63d950124acaf81,Refactor upgraders,Aloysius Chan,2023-07-21T23:23:59Z
99dcc176607edf1090c2c44a04583b7f7ff4dca1,Create V2_2Upgrader.sol,Aloysius Chan,2023-07-13T13:49:08Z
0c71a91a99946d4da0d9d25fc6a64c1001d9be8a,Cached chain ID and domain separator,Yvonne Zhang,2023-07-19T20:51:59Z
ed7b1305fb7fe7de8556ace66aff589c2399208a,Setup repo and CI,Aloysius Chan,2023-07-11T04:41:59Z
0d3cab14ebd133a83fc834dbd48d0468bdf0b391,Merge pull request #327 from walkerq/multi-issuer-upgrade-to-sol-0.6,Erik Tierney,2021-06-03T11:58:39Z
7d5e39e203651601a44a157bf5fb55497ab595f4,copyright fixes,Walker Mayerchak,2021-06-01T21:12:41Z
572fd5f034feee44f88ff6f8c7d5fb45e5d55756,delete start-ganache script,Walker Mayerchak,2021-06-01T21:07:33Z
788ced6ceb1dd2c4aed85edc7ebfa6395e463ae9,leave verification README alone,Walker Mayerchak,2021-06-01T15:01:31Z
f433c29a51bc1a45ae43e08bfbe5d03233f0f7a2,cr,Walker Mayerchak,2021-06-01T14:32:42Z
98b673afeadc094766a13125c36017631604e914,delete unnecessary relative path in deploy script,Walker Mayerchak,2021-06-01T13:36:03Z
89bf348ee67c5a30c3d53af0e7b84bfa62aabf38,delete redundant comment,Walker Mayerchak,2021-05-28T02:14:38Z
3608fb4241a4774d22765584838d0244fe2849f3,whitespace,Walker Mayerchak,2021-05-28T02:09:54Z
2920b9ff90f17a59f0c3e4140bb6a44d65a5d124,cleanup,Walker Mayerchak,2021-05-28T01:58:19Z
092756a5ed2a0893bc4bb35cf070630db25cec50,resolve a few more conflicts,Walker Mayerchak,2021-05-28T01:23:28Z
2d4bf1ecf8e1390433130a642cf0204de9b79132,cleanup,Walker Mayerchak,2021-05-28T00:59:22Z
a6b52990e6a3551ce12aaf0e8871f7f3eb8ff2fc,"linting, test cleanup",Walker Mayerchak,2021-05-28T00:16:10Z
9f492f1b30c23b5976e3be6d507da2c484b06a35,resolve conflicts,Walker Mayerchak,2021-05-27T23:16:03Z
304382194b3e7222dc093df36421af25182641c4,Merge branch 'master' of github.com:centrehq/centre-tokens into multi-issuer,Walker Mayerchak,2021-05-27T23:04:40Z
b5aba6ce7b5a867fda355a54a8449818b313bf1a,Merge pull request #320 from CoinbaseStablecoin/add_version,Peter Jihoon Kim,2021-02-18T02:03:46Z
37039f00534d3e5148269adf98bd2d42ea9fcfd7,Add version method,Peter Jihoon Kim,2021-02-09T23:57:48Z
